Location,Dist_Per_100K_2021,Distributed_Per_100k_65Plus_2021,Admin_Per_100K_2021,Admin_Per_100k_65Plus_2021,Administered_Dose1_Pop_Pct_2021,Administered_Dose1_Recip_65PlusPop_Pct_2021,Series_Complete_Pop_Pct_2021,Series_Complete_65PlusPop_Pct_2021,Additional_Doses_Vax_Pct_2021,Additional_Doses_50Plus_Vax_Pct_2021,Additional_Doses_65Plus_Vax_Pct_2021,Dist_Per_100K_2022,Distributed_Per_100k_65Plus_2022,Admin_Per_100K_2022,Admin_Per_100k_65Plus_2022,Administered_Dose1_Pop_Pct_2022,Administered_Dose1_Recip_65PlusPop_Pct_2022,Series_Complete_Pop_Pct_2022,Series_Complete_65PlusPop_Pct_2022,Additional_Doses_Vax_Pct_2022,Additional_Doses_50Plus_Vax_Pct_2022,Additional_Doses_65Plus_Vax_Pct_2022,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus_Vax_Pct,Bivalent_Booster_65Plus_Pop_Pct
KS,178349,1092740,140263,241990,69.4,95.0,57.1,88.2,33.8,48.5,58.3,273256,1674240,181329,327654,75.9,95.0,65.0,95.0,48.7,64.1,72.8,51.2,59.1,39.7
AL,164304,947963,115022,205476,58.6,92.8,47.7,79.7,27.4,38.9,49.0,242643,1399940,141328,259917,64.8,95.0,53.0,85.0,39.5,53.1,62.7,37.9,43.5,20.2
NJ,210259,1265690,168844,238218,83.9,95.0,70.6,89.9,34.2,48.6,58.1,317756,1912780,219584,324072,94.3,95.0,78.8,95.0,51.6,64.9,72.2,44.9,53.7,35.1
GA,172562,1207790,125950,217166,61.4,92.3,51.1,80.8,28.2,40.1,48.6,258794,1811340,158505,284715,68.1,95.0,57.1,86.4,43.7,58.3,67.1,42.1,48.7,26.6
PR,201561,947131,185830,223651,89.1,95.0,77.1,86.1,28.9,41.6,46.2,268619,1262240,248533,299619,95.0,95.0,86.7,92.8,63.4,73.8,75.6,33.1,38.6,12.3
CA,193006,1306260,167055,246904,82.9,95.0,66.2,86.8,33.5,48.6,58.0,293125,1983860,219183,338897,84.3,95.0,74.4,92.7,58.4,73.6,81.2,54.9,63.0,41.8
SD,178745,1041200,142963,247962,71.0,95.0,57.2,91.6,34.4,49.5,58.8,288741,1681940,187243,342609,83.4,95.0,66.0,95.0,46.3,60.4,67.7,46.9,54.1,43.7
AZ,173088,962728,144603,236197,67.4,95.0,57.1,83.6,30.4,44.0,51.7,261578,1454920,196497,332661,77.1,95.0,65.8,90.3,49.5,65.0,71.8,51.8,58.9,34.6
MO,161161,931338,132149,224822,62.4,93.8,53.1,82.4,33.8,47.5,58.1,244287,1411710,168455,302662,69.1,95.0,58.8,88.4,47.2,61.5,71.0,50.8,58.1,36.2
PA,200560,1072790,157190,246969,78.3,95.0,63.9,91.0,32.0,45.2,55.0,317009,1695670,210326,345223,90.1,95.0,72.9,95.0,47.0,60.4,68.3,47.8,55.0,40.4
TN,159221,950983,130986,233416,58.8,90.3,51.4,82.7,35.4,49.3,60.1,241512,1442480,163609,304337,64.3,94.4,56.2,86.6,47.8,62.5,72.1,46.3,53.3,27.4
IL,183299,1136790,156557,237033,72.2,95.0,64.2,86.7,38.8,56.0,67.9,288727,1790640,208022,333360,78.9,95.0,71.0,91.1,56.6,73.2,82.2,56.6,64.9,44.6
MD,219723,1384600,173151,251393,80.6,95.0,70.5,92.5,38.0,55.0,66.1,352096,2218750,238425,369914,91.3,95.0,79.4,95.0,56.3,72.1,80.0,59.5,68.4,49.6
WV,186630,911328,139290,226122,62.0,91.0,55.1,82.9,37.8,50.6,59.6,293997,1435610,170941,291621,67.3,95.0,59.6,87.5,49.3,62.4,70.6,44.7,50.9,27.9
OK,158151,985305,134545,233955,66.1,95.0,53.6,84.5,30.1,44.7,55.8,235254,1465670,168324,307566,74.3,95.0,60.2,93.1,41.4,56.7,66.3,43.0,49.9,32.4
IN,164117,1017620,126875,231423,58.0,91.1,52.1,85.6,35.6,49.2,59.6,266356,1651560,163521,310634,64.2,95.0,57.6,89.6,50.6,65.4,74.9,44.4,52.2,28.7
NM,180669,1003250,164701,245883,80.9,95.0,66.3,91.0,39.3,54.9,62.4,282077,1566360,221732,353948,93.8,95.0,74.9,95.0,54.3,66.9,72.4,56.0,63.7,47.5
FL,189207,903586,157078,249231,74.6,95.0,63.4,88.9,31.7,45.0,53.8,274608,1311430,193199,317316,82.1,95.0,69.2,93.9,43.6,58.0,65.9,42.9,49.5,25.7
WY,146210,853210,118557,218956,55.9,91.7,47.6,82.1,36.0,50.8,61.3,214567,1252110,145978,283335,60.7,95.0,52.9,87.6,47.0,61.5,71.0,48.0,54.3,32.0
WI,173432,992681,157050,267133,68.3,95.0,62.0,93.5,44.8,61.4,72.7,268728,1538130,209325,380390,74.9,95.0,68.0,95.0,60.4,75.1,83.7,60.4,69.5,52.4
IA,179396,1023610,146949,255858,65.0,95.0,59.0,91.5,44.7,62.1,73.0,282158,1609950,190630,356667,70.4,95.0,64.2,95.0,57.1,73.6,82.2,58.8,67.6,49.8
OH,169559,968563,136764,234510,60.5,91.2,55.3,86.1,41.5,56.0,66.3,258135,1474540,177234,319688,65.5,94.5,60.3,89.4,56.3,70.9,79.7,53.6,61.3,38.6
VA2,0,0,0,0,0.0,0.0,0.0,0.0,32.0,37.6,43.0,0,0,0,0,0.0,0.0,0.0,0.0,43.3,49.5,54.9,41.6,44.5,0.0
DC,227115,1835140,183090,271475,88.7,95.0,67.7,88.8,27.4,38.4,48.2,370827,2996350,273592,414844,95.0,95.0,85.3,95.0,48.5,64.4,73.6,52.1,57.6,48.8
NY,200845,1185370,176840,241418,84.2,95.0,71.9,88.8,33.1,48.2,58.4,301630,1780200,228333,327336,94.1,95.0,80.5,95.0,48.7,63.2,71.0,45.1,54.1,37.0
ND,156168,993033,133326,238614,62.3,95.0,52.6,84.5,36.5,53.5,64.8,238747,1518130,169041,317086,69.1,95.0,58.4,91.4,48.3,64.2,73.9,48.9,55.9,42.4
DE,202975,1046290,163053,259503,76.8,95.0,64.3,92.9,34.7,49.4,59.8,325499,1677870,217754,366151,87.7,95.0,72.9,95.0,50.9,65.4,74.1,52.0,60.0,45.5
CT,208163,1177580,186849,270540,88.8,95.0,74.7,94.6,38.4,55.4,66.3,320343,1812180,249167,386377,95.0,95.0,82.8,95.0,55.2,69.4,76.2,54.0,63.6,54.1
NC,179568,1075510,142771,234140,76.7,95.0,56.8,84.8,20.3,29.0,34.5,275481,1649980,183169,316458,91.6,95.0,66.8,95.0,31.6,41.0,45.9,33.0,36.5,35.6
BP2,0,0,0,0,0.0,0.0,0.0,0.0,21.6,34.0,47.0,0,0,0,0,0.0,0.0,0.0,0.0,37.7,54.7,70.6,28.1,39.7,0.0
RI,215457,1220270,184847,271955,89.3,95.0,76.6,95.0,42.5,59.9,70.7,319220,1807950,246414,383600,95.0,95.0,87.4,95.0,57.8,73.1,80.8,53.5,63.1,53.3
NH,216114,1157520,176911,263865,95.0,95.0,67.3,92.5,14.4,18.3,19.8,356299,1908360,213731,350009,87.5,95.0,71.5,95.0,54.4,66.0,73.3,51.3,60.5,50.7
AR,165324,952344,125929,211199,62.7,92.6,51.2,78.3,30.2,44.3,55.4,266250,1533720,159188,282457,69.6,95.0,56.7,83.8,44.2,59.8,69.9,46.0,53.0,29.7
GU,167049,1752440,173910,261652,83.6,95.0,75.4,95.0,25.5,46.5,58.0,220970,2318100,231887,357387,94.0,95.0,85.4,95.0,53.6,75.1,82.1,40.1,50.3,18.7
MA,212958,1255260,189036,260842,90.8,95.0,74.7,92.8,38.7,53.4,62.7,327029,1927640,257747,382085,95.0,95.0,83.8,95.0,56.1,68.4,74.8,54.8,62.7,58.2
VT,228605,1140820,200859,292154,89.5,95.0,77.5,95.0,49.2,65.4,74.4,391779,1955120,275383,423877,95.0,95.0,85.3,95.0,66.1,78.7,85.2,61.4,70.4,61.3
WA,199300,1254540,165728,251295,75.8,95.0,68.0,91.6,38.3,56.2,67.4,317245,1996980,227099,367145,84.9,95.0,75.7,95.0,57.8,73.1,81.0,62.4,70.0,52.1
MP,218569,3018910,184747,210043,83.6,83.4,76.9,80.0,34.4,55.3,62.4,277989,3839640,223350,260309,89.6,87.5,84.5,83.9,53.1,74.1,80.8,21.7,31.6,13.7
NV,165471,1027630,140524,222076,69.6,95.0,56.5,81.3,29.4,44.2,54.7,240693,1494790,178752,297854,77.3,95.0,63.5,88.9,43.5,59.6,68.3,46.9,54.6,32.3
VA,197892,1243000,169870,250781,79.1,95.0,68.0,89.9,36.6,53.7,65.6,299832,1883300,225260,356123,90.6,95.0,76.3,95.0,53.0,68.5,77.6,53.8,61.5,45.4
TX,178946,1389500,140066,228468,66.8,94.4,57.0,84.3,28.1,43.6,53.6,266152,2066640,177556,299738,76.0,95.0,63.0,88.7,39.9,58.0,67.5,45.6,53.1,28.5
MN,192164,1177480,162478,263386,71.5,95.0,65.5,94.7,46.5,64.9,75.8,310037,1899750,222248,387589,78.5,95.0,71.9,95.0,62.8,78.5,86.1,65.1,73.3,59.1
AS,175789,2541490,159983,193136,84.9,90.6,69.0,82.7,10.4,19.9,27.6,271101,3919460,242575,287645,95.0,95.0,89.5,91.3,58.1,79.5,80.5,26.0,35.2,4.5
HI,210350,1109450,158566,227844,88.3,95.0,63.6,90.1,18.1,26.3,32.4,314206,1657220,243766,361375,91.1,95.0,81.3,95.0,59.2,77.0,84.5,58.2,66.3,45.6
NE,176676,1093790,147694,253230,66.4,95.0,59.9,90.4,40.1,57.6,68.2,270319,1673530,193113,349164,73.1,95.0,66.0,95.0,55.1,71.7,80.2,55.5,63.4,41.8
MI,180379,1020400,140361,234539,63.5,94.6,56.9,86.4,41.9,56.7,67.3,282332,1597150,184241,324496,69.3,95.0,62.2,91.2,58.4,71.7,79.7,54.0,62.2,42.0
MT,161588,836582,135133,229758,62.1,93.3,54.0,84.2,39.8,54.3,63.4,243902,1262750,171298,307419,68.0,95.0,59.0,89.1,52.1,66.0,73.9,51.6,58.4,35.0
VI,126719,657730,122668,181219,59.7,84.1,50.7,72.9,22.6,31.2,37.8,158924,824885,144652,221648,69.9,95.0,55.2,78.8,31.5,41.5,47.9,14.8,16.7,8.2
CO,188504,1288620,165766,252436,74.7,95.0,66.3,89.2,41.1,60.2,70.7,292906,2002310,221665,368898,83.3,95.0,73.2,95.0,57.2,73.3,80.7,60.9,69.0,49.3
IH2,122100,0,97232,0,49.4,0.0,39.3,0.0,23.5,34.8,42.9,187492,0,120930,0,55.5,0.0,43.8,0.0,36.9,47.2,55.0,41.4,47.5,0.0
MS,154010,941780,113848,210412,55.3,89.1,48.1,81.7,24.8,37.3,48.2,234096,1431510,142742,269552,61.5,93.6,53.6,86.0,40.9,56.8,66.7,37.3,43.2,18.4
KY,166704,992294,132155,225141,62.5,94.8,54.3,84.5,35.6,50.1,60.7,259400,1544060,165467,296677,68.6,95.0,59.4,89.1,48.2,63.0,72.3,47.1,54.6,32.5
MH,88731,1848340,61781,70874,33.5,37.0,29.4,33.0,5.4,9.0,11.0,196987,4103430,121363,118810,55.7,43.1,44.6,38.6,44.1,68.6,71.8,38.6,40.9,3.4
DD2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,27.5,39.2,40.9,31.4,38.0,0.0
OR,201257,1108040,162469,239733,74.1,95.0,66.5,89.2,39.4,55.9,66.6,318776,1755060,217336,343034,81.2,95.0,72.1,94.1,58.4,72.3,80.1,59.8,66.5,42.6
ME,216432,1019860,187260,271903,86.0,95.0,75.9,95.0,44.5,60.4,70.2,351059,1654240,257280,411177,95.0,95.0,83.0,95.0,60.6,73.8,81.4,61.9,71.1,62.8
SC,171136,940350,130744,229686,62.9,95.0,53.2,85.2,31.4,44.6,55.0,262622,1443040,165534,300689,70.7,95.0,59.7,91.4,44.4,59.2,68.5,42.9,49.3,29.9
US,185315,1122910,153402,240639,73.5,95.0,62.1,87.6,33.9,48.7,58.5,282862,1713990,199941,328811,80.8,95.0,69.0,94.0,50.7,65.3,73.2,50.4,57.9,37.5
LA,147839,927469,121579,222462,57.5,89.9,50.3,84.9,30.9,44.3,55.2,214189,1343710,147782,277229,62.7,92.6,54.9,87.2,42.9,59.0,69.2,38.9,45.2,20.5
UT,168469,1476220,141059,247109,67.4,95.0,58.8,90.3,30.1,50.3,61.8,251943,2207660,188314,346806,75.0,95.0,66.5,95.0,49.5,69.7,78.3,51.2,59.2,40.2
AK,180516,1441840,140316,225626,65.1,93.3,56.4,84.2,34.8,52.8,64.1,282456,2256080,178247,307195,72.8,95.0,64.9,89.2,49.0,67.5,78.1,51.8,59.8,37.6
FM,106294,2260180,82186,134144,47.7,76.4,42.2,71.0,8.6,11.2,11.7,273182,5808810,190135,232523,82.3,87.5,69.2,80.7,53.4,70.4,71.2,45.4,45.0,14.7
ID,160253,985248,113396,228087,52.2,92.8,46.3,84.8,38.4,51.2,60.6,253902,1561010,158773,309595,63.7,95.0,56.3,90.3,48.3,64.5,72.6,52.5,59.3,37.7
