Location,Population Density per miÂ²
New Jersey,"1,283.4"
Rhode Island,"1,074.3"
Massachusetts,919.82
Connecticut,746.7
Maryland,648.84
Delaware,522.09
New York,433.9
Florida,416.96
Pennsylvania,292.62
Ohio,290.7
California,258.21
Hawaii,231.01
Illinois,230.68
Virginia,223.36
North Carolina,220.3
Indiana,191.93
Georgia,191.59
Michigan,179.26
South Carolina,175.19
Tennessee,171.71
New Hampshire,155.91
Washington,120.37
Texas,116.16
Kentucky,115.38
Wisconsin,109.97
Louisiana,108.67
Alabama,100.65
Missouri,90.26
West Virginia,73.88
Minnesota,73.18
Vermont,70.34
Arizona,64.96
Mississippi,63.07
Oklahoma,58.63
Arkansas,58.43
Iowa,57.89
Colorado,57.86
Oregon,45.41
Maine,44.5
Utah,41.67
Kansas,36.24
Nevada,29.38
Nebraska,26.06
Idaho,23.24
New Mexico,17.6
South Dakota,11.98
North Dakota,11.75
Montana,7.64
Wyoming,5.98
Alaska,1.3
